Cell ID,Spot ID,80K Spots Position X,80K Spots Position Y,80K Spots Position Z
8,600000158,180.794,181.293,0.316439
12,600000159,175.517,184.29,0.369185
9,600000160,186.133,184.218,0.238608
12,600000161,176.632,185.058,0.202865
10,600000162,188.38,185.684,0.308122
12,600000163,175.99,186.951,0.367584
12,600000164,180.517,187.035,0.338745
17,600000165,147.767,192.62,0.396544
5,600000166,193.689,193.857,0.258361
7,600000167,184.561,178.091,0.568024
7,600000168,187.27,180.836,0.544336
10,600000169,189.804,183.081,0.461813
10,600000170,192.164,183.949,0.444996
10,600000171,187.989,184.289,0.560056
13,600000172,163.748,186.969,0.591027
13,600000173,172.563,190.033,0.486709
16,600000174,166.443,190.948,0.533732
15,600000175,181.444,192.166,0.43178
16,600000176,167.225,192.883,0.430234
3,600000177,170.332,193.729,0.563927
8,600000178,179.636,177.817,0.605376
8,600000179,179.867,182.502,0.65488
7,600000180,189.141,182.863,0.70071
9,600000181,182.814,184.082,0.642127
4,600000182,187.417,189.128,0.634928
2,600000183,154.359,189.557,0.741403
13,600000184,167.548,189.47,0.782817
2,600000185,158.574,193.62,0.756502
35,600000186,239.241,166.437,0.0998975
35,600000187,239.828,166.736,0.0998975
35,600000188,238.115,168.071,0.0998975
35,600000189,240.78,168.286,0.0998975
37,600000190,258.909,168.348,0.0998975
39,600000191,265.701,168.322,0.0998975
33,600000192,272.46,168.366,0.0998975
33,600000193,274.361,168.701,0.0998975
39,600000194,266.187,169.178,0.0998975
39,600000195,266.847,169.116,0.0998975
18,600000196,289.093,168.984,0.0998975
40,600000197,250.949,169.53,0.0998975
37,600000198,261.948,169.491,0.0998975
37,600000199,263.442,169.426,0.0998975
39,600000200,264.158,169.442,0.0998975
33,600000201,275.568,169.528,0.0998975
18,600000202,290.791,169.501,0.0998975
35,600000203,237.811,169.881,0.0998975
35,600000204,239.259,170.066,0.0998975
37,600000205,258.095,169.811,0.0998975
39,600000206,266.824,169.831,0.0998975
33,600000207,271.409,170.038,0.0998975
41,600000208,283.644,169.992,0.0998975
18,600000209,288.747,169.998,0.0998975
38,600000210,230.601,170.299,0.0998975
43,600000211,236.481,170.179,0.0998975
35,600000212,242.248,170.119,0.0998975
36,600000213,245.244,170.176,0.0998975
39,600000214,265.362,170.26,0.0998975
42,600000215,224.793,170.744,0.0998975
38,600000216,228.24,170.592,0.0998975
35,600000217,241.099,170.819,0.0998975
37,600000218,259.57,170.563,0.0998975
39,600000219,267.918,170.792,0.0998975
39,600000220,269.162,170.552,0.0998975
18,600000221,289.818,170.821,0.0998975
44,600000222,215.19,171.14,0.0998975
42,600000223,221.346,170.889,0.0998975
42,600000224,226.318,170.977,0.0998975
38,600000225,232.41,171.073,0.0998975
38,600000226,234.06,171.033,0.0998975
35,600000227,239.242,171.091,0.0998975
35,600000228,241.854,171.151,0.0998975
45,600000229,244.599,171.168,0.0998975
40,600000230,248.735,170.925,0.0998975
37,600000231,260.643,171.076,0.0998975
39,600000232,265.214,171.179,0.0998975
33,600000233,272.895,170.94,0.0998975
46,600000234,278.109,171.003,0.0998975
42,600000235,222.972,171.313,0.0998975
43,600000236,235.514,171.406,0.0998975
43,600000237,237.614,171.378,0.0998975
49,600000238,247.462,171.444,0.0998975
40,600000239,251.712,171.354,0.0998975
37,600000240,263.499,171.27,0.0998975
39,600000241,266.385,171.564,0.0998975
46,600000242,276.742,171.419,0.0998975
48,600000243,208.426,171.767,0.0998975
44,600000244,217.77,171.891,0.0998975
47,600000245,272.257,171.837,0.0998975
46,600000246,278.975,171.597,0.0998975
42,600000247,225.732,172.131,0.0998975
45,600000248,242.383,172.008,0.0998975
40,600000249,249.075,172.037,0.0998975
41,600000250,283.183,172.174,0.0998975
41,600000251,284.105,172.093,0.0998975
48,600000252,212.356,172.601,0.0998975
44,600000253,214.534,172.686,0.0998975
42,600000254,221.057,172.704,0.0998975
42,600000255,222.971,172.415,0.0998975
42,600000256,224.16,172.673,0.0998975
38,600000257,231.177,172.616,0.0998975
45,600000258,240.178,172.471,0.0998975
45,600000259,246.391,172.587,0.0998975
40,600000260,252.825,172.369,0.0998975
37,600000261,264.916,172.357,0.0998975
39,600000262,266.94,172.538,0.0998975
39,600000263,268.259,172.524,0.0998975
33,600000264,275.294,172.498,0.0998975
44,600000265,216.34,172.991,0.0998975
43,600000266,235.202,172.885,0.0998975
43,600000267,238.702,173.043,0.0998975
49,600000268,247.426,172.917,0.0998975
49,600000269,249.456,173.022,0.0998975
41,600000270,286.57,173.084,0.0998975
38,600000271,228.994,173.384,0.0998975
45,600000272,243.838,173.378,0.0998975
48,600000273,206.589,173.814,0.0998975
42,600000274,225.434,173.657,0.0998975
45,600000275,241.507,173.644,0.0998975
40,600000276,251.698,173.661,0.0998975
50,600000277,266.26,173.709,0.0998975
46,600000278,275.856,173.615,0.0998975
46,600000279,277.126,173.795,0.0998975
48,600000280,207.848,174.172,0.0998975
48,600000281,209.75,174.144,0.0998975
48,600000282,213.278,174.218,0.0998975
44,600000283,214.931,174.053,0.0998975
42,600000284,222.538,174.09,0.0998975
42,600000285,223.796,174.179,0.0998975
53,600000286,231.925,174.135,0.0998975
52,600000287,253.873,173.929,0.0998975
52,600000288,254.757,173.988,0.0998975
52,600000289,255.817,174.053,0.0998975
52,600000290,257.935,174.126,0.0998975
47,600000291,269.982,173.865,0.0998975
47,600000292,274.39,173.962,0.0998975
41,600000293,285.765,173.977,0.0998975
51,600000294,200.183,174.619,0.0998975
44,600000295,216.218,174.594,0.0998975
44,600000296,218.303,174.359,0.0998975
45,600000297,239.157,174.439,0.0998975
45,600000298,247.635,174.58,0.0998975
50,600000299,264.2,174.313,0.0998975
47,600000300,271.28,174.357,0.0998975
51,600000301,198.731,174.813,0.0998975
53,600000302,230.234,174.805,0.0998975
53,600000303,233.229,174.866,0.0998975
