Cell_ID,Cell Position X,Cell Position Y,Centroid,Fano factor,PV,NV
936,311.787,242.419,42,9.308839191,0.288095238,0.138127854
937,316.53,241.217,62,2.176767677,0.145299145,0.077625571
938,321.739,241.484,78,2.015042118,0.111111111,0.073059361
939,353.864,242.481,88,1.45865434,0.092920354,0.071917808
940,390.485,241.094,4,0.666666667,0.222222222,0.00913242
941,339.828,242.463,109,2.084714549,0.110696517,0.101598174
942,375.603,242.402,44,14.67317073,0.442857143,0.169863014
943,295.171,244.396,2,0.541666667,0.25,0.006849315
944,300.136,243.772,3,7.958974359,0.347826087,0.054794521
945,306.388,242.772,23,6.874172185,0.238095238,0.068493151
946,348.667,244.236,96,3.320549242,0.109452736,0.100456621
947,335.101,244.595,99,0.601960784,0.059633028,0.044520548
948,362.338,244.926,74,9.126771066,0.235,0.160958904
949,370.431,244.599,32,9.882729211,0.272200772,0.137964775
950,380.895,245.213,6,17.17896389,0.204545455,0.061643836
951,319.504,246.261,71,2.431571816,0.119791667,0.078767123
952,386.258,245.186,1,0.727272727,0.533333333,0.021917808
953,303.922,247.361,17,5.904761905,0.354166667,0.058219178
954,330.302,246.59,95,0.257984032,0.037581699,0.026255708
955,324.814,246.508,96,2.356418919,0.138888889,0.091324201
956,357.025,247.013,100,1.728723404,0.226666667,0.155251142
957,309.223,247.458,24,8.720478326,0.2109375,0.092465753
958,344.141,246.829,134,2.07751938,0.257462687,0.23630137
959,367.1,248.08,38,12.52326531,0.278378378,0.14109589
960,314.614,247.079,64,6.072097378,0.248826291,0.121004566
961,351.988,248.196,78,0.968931016,0.143564356,0.099315068
962,375.392,247.42,16,10.91147541,0.290909091,0.087671233
963,338.262,248.31,90,1.887082204,0.134328358,0.123287671
964,298.763,248.784,2,5.933333333,0.274509804,0.03196347
965,362.017,249.976,62,11.77014218,0.243333333,0.166666667
966,317.854,251.877,59,3.276190476,0.185110664,0.090019569
967,385.569,250.307,4,1.580645161,0.306122449,0.014677104
968,333.472,250.975,102,0.199312715,0.057189542,0.039954338
969,372.364,251.292,17,6.231464738,0.248120301,0.064579256
970,322.742,251.11,62,6.300703775,0.228522337,0.151826484
971,327.639,251.788,94,2.073559671,0.088235294,0.061643836
972,341.867,251.897,107,3.63960396,0.134328358,0.123287671
973,347.352,251.547,101,3.527700574,0.122601279,0.112524462
974,379.362,250.813,7,3.177419355,0.245098039,0.028538813
975,307.333,252.002,19,5.207364341,0.231060606,0.069634703
976,313.198,252.346,34,6.872960373,0.255208333,0.111872146
977,357.322,253.191,79,6.533834586,0.192307692,0.136986301
978,301.969,252.984,10,4.709677419,0.340277778,0.055936073
979,367.761,253.558,22,8.135327635,0.252688172,0.107305936
980,352.622,253.437,91,1.315555556,0.1,0.071232877
981,362.782,254.772,47,9.404210526,0.230379747,0.124657534
982,297.031,254.441,5,6.162162162,0.3125,0.034246575
983,337.632,254.556,97,0.908956329,0.069425901,0.050880626
984,382.948,254.862,6,1.194444444,0.238095238,0.011415525
985,331.241,255.749,102,0.114341085,0.04248366,0.029680365
986,376.536,255.419,6,3.466666667,0.233333333,0.03196347
987,311.017,256.564,44,5.460823373,0.245762712,0.099315068
988,343.799,256.255,77,1.31107814,0.206422018,0.154109589
989,305.221,256.788,24,6.473846154,0.245454545,0.073972603
990,318.825,256.367,42,7.601190476,0.195876289,0.130136986
991,387.901,256.619,0,1.541666667,0.666666667,0.02739726
992,324.572,256.654,97,6.887229775,0.203081232,0.141878669
993,348.987,257.405,87,1.289393939,0.108562691,0.081050228
994,371.391,257.817,20,3.778735632,0.261904762,0.050228311
995,334.859,259.412,101,0.459560542,0.053097345,0.04109589
996,354.264,259.135,104,6.460369418,0.303571429,0.216242661
997,300.012,259.146,16,6.111876076,0.375,0.061643836
998,339.583,259.65,96,1.65339233,0.097345133,0.075342466
999,359.556,258.643,47,13.82890173,0.219230769,0.156164384
1000,380.196,259.052,7,0.371428571,0.2,0.009589041
1001,315.042,260.26,44,2.729411765,0.150121065,0.060665362
1002,365.528,259.352,28,5.255751739,0.288753799,0.09295499
1003,329.678,260.681,95,0.311657033,0.047400612,0.035388128
1004,320.382,260.937,54,10.03237675,0.25257732,0.167808219
1005,309.764,261.614,27,6.693023256,0.290909091,0.087671233
1006,345.05,261.131,109,2.591317365,0.166666667,0.140410959
1007,374.82,261.438,7,3.764705882,0.241666667,0.033105023
1008,385.205,261.963,6,2.111111111,0.469387755,0.022504892
1009,324.802,262.24,95,3.217475728,0.121649485,0.080821918
1010,304.615,262.24,17,2.941176471,0.222222222,0.04109589
1011,369.808,263.272,16,8.196969697,0.268115942,0.084474886
1012,296.193,262.954,3,6.131313131,0.229166667,0.025114155
