Cell_ID,Centroid,Cell Position X,Cell Position Y,Fano factor,PV,NV
802,0,308.854,293.529,0,0,0
803,0,314.007,291.902,0,0,0
804,0,327.327,292.948,0,0,0
805,1,338.185,293.143,2.25,0.388888889,0.006076389
806,4,348.626,294.051,10.43126685,0.375,0.0625
807,17,353.264,292.712,13.18461538,0.351851852,0.098958333
808,70,366.955,291.947,2.282152231,0.087542088,0.045138889
809,69,371.981,292.983,0.576146789,0.061176471,0.027083333
810,71,375.433,289.322,1.362047441,0.111742424,0.051215278
811,0,322.248,293.268,0,0,0
812,0,305.411,289.526,0,0,0
813,0,320.325,197.802,0,0,0
814,0,344.161,199.302,0,0,0
815,0,314.699,200.081,0,0,0
816,0,337.856,198.377,0,0,0
817,0,350.76,201.158,2.458333333,0.333333333,0.006944444
818,0,302.42,199.925,0,0,0
819,4,357.052,201.799,1.573333333,0.361111111,0.011284722
820,0,308.464,201.542,0,0,0
821,0,326.087,202.375,0,0,0
822,6,363.991,203.045,6.810606061,0.346666667,0.045138889
823,40,375.61,202.873,12.15789474,0.305128205,0.123958333
824,0,298.15,203.982,0,0,0
825,0,319.406,203.693,0,0,0
826,0,332.711,203.667,0,0,0
827,0,346.497,205.985,3,0.166666667,0.002604167
828,78,381.676,205.457,4.636743215,0.178819444,0.089409722
829,0,339.976,205.177,0,0,0
830,21,370.032,205.403,14.18723404,0.280952381,0.102430556
831,0,303.158,205.547,0,0,0
832,0,312.663,206.133,0,0,0
833,0,306.874,209.015,0,0,0
834,0,323.719,208.061,0,0,0
835,3,352.695,207.917,2.861111111,0.5,0.013020833
836,0,328.99,208.488,0,0,0
837,5,359.019,208.24,10.07407407,0.293333333,0.038194444
838,74,387.383,208.466,1.291647649,0.095238095,0.047619048
839,70,375.66,208.601,10.76715686,0.260416667,0.130208333
840,0,335.572,209.293,0,0,0
841,25,365.042,210.067,12.40155945,0.294871795,0.079861111
842,0,296.128,210.349,0,0,0
843,0,317.09,209.424,0,0,0
844,0,341.632,211.068,0,0,0
845,0,301.512,211.4,0,0,0
846,0,311.45,212.396,0,0,0
847,0,348.487,212.17,3,0.166666667,0.002604167
848,52,371.318,212.005,13.21568627,0.227430556,0.113715278
849,96,379.861,212.084,3.31070816,0.275297619,0.13764881
850,0,326.72,214.338,0,0,0
851,87,385.41,215.147,0.842312009,0.081597222,0.040798611
852,0,320.783,213.117,0,0,0
853,0,355.003,213.529,10.40336134,0.242857143,0.025297619
854,20,361.495,214.813,13.25745257,0.337301587,0.073784722
855,0,332.537,213.597,0,0,0
856,0,305.609,215.287,0,0,0
857,0,316.001,216.048,0,0,0
858,51,373.404,217.338,4.788626907,0.186011905,0.093005952
859,0,337.371,216.033,0,0,0
860,0,298.082,215.751,0,0,0
861,0,343.166,216.737,0,0,0
862,42,367.419,217.32,5.178452776,0.257142857,0.073660714
863,0,348.668,217.888,2,0.166666667,0.001736111
864,4,357.356,218.796,10.63478261,0.422222222,0.059375
865,75,379.374,217.46,3.525786164,0.160416667,0.080208333
866,0,326.991,219.752,0,0,0
867,0,332.272,219.482,0,0,0
868,0,311.379,218.393,0,0,0
869,0,321.514,218.576,0,0,0
870,2,352.852,220.72,9.611111111,0.229166667,0.019097222
871,0,295.05,220.992,0,0,0
872,0,301.12,220.054,0,0,0
873,0,306.858,220.548,0,0,0
874,27,362.25,220.95,7.234782609,0.276190476,0.060416667
875,94,382.987,221.916,1.571506253,0.112654321,0.063368056
876,74,376.37,222.711,4.178236398,0.175531915,0.0859375
877,0,316.777,222.348,0,0,0
878,0,337.441,222.238,0,0,0
879,0,343.189,222.988,0,0,0
880,55,370.57,223.36,7.622112211,0.188172043,0.091145833
881,0,322.993,224.001,0,0,0
882,0,310.583,224.763,0,0,0
883,0,298.996,224.574,0,0,0
884,0,330.408,224.352,0,0,0
885,0,348.617,223.839,1.6,0.4,0.004166667
886,16,357.965,225.431,8.686472819,0.369458128,0.055803571
887,0,304.592,225.503,0,0,0
888,29,365.098,225.141,7.896414343,0.255555556,0.079861111
889,108,385.641,226.923,1.280898876,0.205246914,0.115451389
890,0,340.513,228.097,0,0,0
891,0,315.096,227.274,0,0,0
892,0,326.222,228.009,0,0,0
893,0,319.886,229.134,0,0,0
894,0,334.965,227.892,0,0,0
895,91,379.886,228.198,1.440552017,0.081790123,0.046006944
896,2,352.853,227.763,9.322580645,0.302083333,0.025173611
897,93,374.274,228.76,3.298245614,0.213261649,0.103298611
898,0,346.388,228.641,2,0.166666667,0.001736111
899,60,368.053,229.469,10.36727589,0.213261649,0.103298611
900,0,299.335,229.668,0,0,0
901,0,309.938,230.62,0,0,0
902,0,330.962,230.882,0,0,0
903,22,362.355,230.587,12.51557632,0.272222222,0.085069444
904,0,304.512,230.715,0,0,0
905,0,344.46,233.672,2,0.142857143,0.001488095
906,11,356.838,231.78,8.114155251,0.409090909,0.046875
907,77,383.483,233.529,1.536257657,0.141534392,0.079613095
908,0,315.059,232.321,0,0,0
909,0,324.638,232.8,0,0,0
910,0,350.528,232.754,7.533333333,0.227272727,0.013020833
911,68,371.682,233.829,3.309794989,0.152688172,0.073958333
912,0,300.112,234.825,0,0,0
913,91,377.255,234.227,2.278149387,0.11682243,0.065104167
914,0,305.95,235.153,0,0,0
915,0,319.422,235.846,0,0,0
916,56,366.527,235.374,8.646666667,0.244131455,0.090277778
917,20,361.111,235.913,18.29693487,0.321428571,0.09375
918,0,330.329,235.807,2,0.142857143,0.001488095
919,0,313.616,236.799,0,0,0
920,0,340.643,236.867,2,0.2,0.002083333
921,2,355.093,236.959,8.413043478,0.333333333,0.034722222
922,0,349.581,238.333,2.58974359,0.361111111,0.011284722
923,0,324.851,237.371,0,0,0
924,0,335.41,238.398,2,0.166666667,0.001736111
925,0,308.888,238.225,0,0,0
926,0,296.545,238.995,0,0,0
927,71,371.774,238.7,5.042744657,0.185580774,0.103422619
928,107,379.955,238.603,1.610298103,0.208722741,0.116319444
929,0,302.553,239.454,0,0,0
930,2,344.476,240.599,3.814814815,0.361111111,0.011284722
931,87,384.822,240.067,1.026315789,0.063862928,0.035590278
932,0,327.055,241.599,2,0.166666667,0.001736111
933,2,331.533,240.993,2,1,0.010416667
934,10,359.37,240.723,20.86805556,0.327044025,0.090277778
935,53,365.623,240.824,16.21585482,0.258064516,0.125
936,0,311.787,242.419,0,0,0
937,0,316.53,241.217,0,0,0
938,0,321.739,241.484,0,0,0
939,3,353.864,242.481,4.204301075,0.4,0.020833333
940,84,390.485,241.094,0.31969449,0.042517007,0.021701389
941,0,339.828,242.463,1.444444444,0.25,0.002604167
942,96,375.603,242.402,3.125581395,0.153271028,0.085416667
943,0,295.171,244.396,0,0,0
944,0,300.136,243.772,0,0,0
945,0,306.388,242.772,0,0,0
946,6,348.667,244.236,2.41025641,0.805555556,0.025173611
947,0,335.101,244.595,2,0.166666667,0.001736111
948,46,362.338,244.926,20.48780488,0.26344086,0.127604167
949,93,370.431,244.599,6.613831398,0.282738095,0.141369048
950,86,380.895,245.213,2.86127419,0.126835781,0.070684524
951,0,319.504,246.261,0,0,0
952,83,386.258,245.186,0.610547667,0.057471264,0.026041667
953,0,303.922,247.361,0,0,0
954,0,330.302,246.59,2,0.166666667,0.001736111
955,0,324.814,246.508,0,0,0
956,10,357.025,247.013,15.96396396,0.27173913,0.065104167
957,0,309.223,247.458,0,0,0
958,1,344.141,246.829,3.233333333,0.25,0.0078125
959,48,367.1,248.08,12.36260163,0.264583333,0.132291667
960,0,314.614,247.079,0,0,0
961,0,351.988,248.196,5.657657658,0.411111111,0.032118056
962,63,375.392,247.42,2.638323353,0.25625,0.128125
963,0,338.262,248.31,1,0.166666667,0.000868056
964,0,298.763,248.784,0,0,0
965,27,362.017,249.976,9.826771654,0.347457627,0.106770833
966,0,317.854,251.877,0,0,0
967,68,385.569,250.307,0.711520737,0.129568106,0.058035714
968,0,333.472,250.975,0,0,0
969,96,372.364,251.292,4.139773895,0.31547619,0.157738095
970,0,322.742,251.11,0,0,0
971,0,327.639,251.788,0,0,0
972,0,341.867,251.897,0.8,0.4,0.002083333
973,1,347.352,251.547,2.896103896,0.214285714,0.006696429
974,67,379.362,250.813,1.848888889,0.111111111,0.055555556
975,0,307.333,252.002,0,0,0
976,0,313.198,252.346,0,0,0
977,15,357.322,253.191,16.0786268,0.271137026,0.069196429
978,0,301.969,252.984,0,0,0
979,59,367.761,253.558,7.670929241,0.166666667,0.083333333
980,2,352.622,253.437,7.816,0.28,0.021875
981,49,362.782,254.772,9.585714286,0.338983051,0.104166667
982,0,297.031,254.441,0,0,0
983,0,337.632,254.556,0,0,0
984,73,382.948,254.862,0.92327044,0.078754579,0.037326389
985,0,331.241,255.749,0,0,0
986,72,376.536,255.419,1.888673139,0.092013889,0.046006944
987,0,311.017,256.564,0,0,0
988,0,343.799,256.255,0.833333333,0.333333333,0.001736111
989,0,305.221,256.788,0,0,0
990,0,318.825,256.367,0,0,0
991,80,387.901,256.619,0.944546009,0.08974359,0.042534722
992,0,324.572,256.654,0,0,0
993,1,348.987,257.405,2.727272727,0.222222222,0.006944444
994,58,371.391,257.817,2.922705314,0.147569444,0.073784722
995,0,334.859,259.412,0,0,0
996,6,354.264,259.135,7.846153846,0.360248447,0.043154762
997,0,300.012,259.146,0,0,0
998,0,339.583,259.65,0,0,0
999,20,359.556,258.643,13.35688623,0.314814815,0.088541667
1000,79,380.196,259.052,0.81619256,0.09010989,0.042708333
1001,0,315.042,260.26,0,0,0
1002,54,365.528,259.352,7.843137255,0.223938224,0.086309524
1003,0,329.678,260.681,0,0,0
1004,0,320.382,260.937,0,0,0
1005,0,309.764,261.614,0,0,0
1006,0,345.05,261.131,1.733333333,0.277777778,0.004340278
1007,70,374.82,261.438,0.606,0.071729958,0.029513889
1008,91,385.205,261.963,1.186813187,0.110787172,0.056547619
1009,0,324.802,262.24,0,0,0
1010,0,304.615,262.24,0,0,0
1011,74,369.808,263.272,0.969568294,0.108888889,0.042534722
1012,0,296.193,262.954,0,0,0
1013,1,350.258,262.729,3.826086957,0.3,0.015625
1014,0,341.962,264.653,3,0.166666667,0.002604167
1015,23,359.732,263.523,18.07163743,0.312206573,0.115451389
1016,0,332.519,265.17,0,0,0
1017,10,355.242,264.677,16.4047619,0.265151515,0.060763889
1018,87,390.728,262.782,1.154159395,0.107638889,0.053819444
1019,0,300.93,265.547,0,0,0
1020,0,337.202,264.807,0,0,0
