Cell_ID,Cell Position X,Cell Position Y,Centroid,Fano factor,PV,NV
492,294.02,281.113,1,1,0,0.005263158
493,290.617,285.101,0,3.133333333,0,0.004385965
494,294.269,288.954,0,2,0,0.001754386
495,204.174,294.129,58,1.74251497,0.128014842,0.051879699
496,208.533,290.509,72,3.471365639,0.109433962,0.061052632
497,212.407,294.144,77,3.280313351,0.135613208,0.075657895
498,218.876,292.583,104,1.306112703,0.077160494,0.043859649
499,225.192,290.447,108,2.986111111,0.112582781,0.089473684
500,235.577,291.36,139,0.275565124,0.054761905,0.040350877
501,241.295,290.181,132,0.753208654,0.053571429,0.039473684
502,245.304,294.241,110,1.156650641,0.098484848,0.068421053
503,257.82,292.096,100,6.742236025,0.16553288,0.109774436
504,263.486,293.548,62,6.174358974,0.168333333,0.088596491
505,268.88,293.677,51,7.964528302,0.278125,0.093684211
506,291.749,293.45,2,1.6,0,0.008421053
507,294.717,233.201,1,0.833333333,0,0.004385965
508,293.467,249.314,0,0.714285714,0,0.002255639
509,204.457,197.907,70,1.724324324,0.108695652,0.052631579
510,198.354,198.256,59,3.167062549,0.154166667,0.064912281
511,262.278,197.938,17,12.45454545,0.336956522,0.081578947
512,230.898,199.219,91,3.943226071,0.12295082,0.078947368
513,273.496,198.769,1,5.35,0.4,0.016842105
514,237.088,199.909,79,3,0.179487179,0.085964912
515,279.433,200.627,0,0.857142857,0,0.001503759
516,256.689,200.648,46,6.052287582,0.248587571,0.077192982
517,209.207,201.382,92,2.447787611,0.168367347,0.086842105
518,244.567,200.839,59,1.114241002,0.061181435,0.025438596
519,267.455,200.962,7,11.55555556,0.297619048,0.043859649
520,215.433,202.592,98,2.602150538,0.116519174,0.069298246
521,222.389,203.083,81,1.683168317,0.18735363,0.120300752
522,289.628,202.832,0,1,0,0.000877193
523,250.555,203.498,57,0.498281787,0.070621469,0.021929825
524,228.364,204.667,93,1.363176895,0.099047619,0.054736842
525,203.612,204.928,68,2.836657682,0.118012422,0.057142857
526,262.552,205.661,28,17.8361244,0.332627119,0.103289474
527,274.762,204.258,0,3.619047619,0.244897959,0.009022556
528,283.952,205.302,1,3.171428571,0,0.006766917
529,234.521,206.34,79,2.647296207,0.153638814,0.085714286
530,240.144,205.355,60,3.087238979,0.157894737,0.078947368
531,256.351,206.287,59,2.765509989,0.271186441,0.084210526
532,269.112,206.348,2,17.26,0.242857143,0.035789474
533,245.247,207.621,59,3.336336336,0.092982456,0.046491228
534,279.627,208.501,0,2.5,0,0.005263158
535,209.323,208.271,66,3.580983969,0.207964602,0.123684211
536,216.966,208.065,113,2.628498728,0.200589971,0.119298246
537,288.869,209.327,0,3.133333333,0,0.004385965
538,223.533,209.197,105,1.861574074,0.092741935,0.060526316
539,200.512,210.097,45,1.967146974,0.210958904,0.081052632
540,250.603,209.688,50,1.229090909,0.15,0.050526316
541,273.558,210.547,1,2.3,0.3,0.007894737
542,229.846,210.595,105,3.056375839,0.107769424,0.075438596
543,267.612,211.863,2,10.86956522,0.339285714,0.05
544,240.311,211.451,95,4.590909091,0.25,0.139473684
545,258.181,211.289,36,7.067961165,0.223728814,0.069473684
546,213,212.911,93,3.103136629,0.135693215,0.080701754
547,205.229,213.482,73,4.890756303,0.161244696,0.085714286
548,262.672,213.159,12,7.566929134,0.416666667,0.078947368
549,283.686,212.632,4,2.571428571,0,0.019548872
550,252.894,214.268,41,3.203815261,0.200520833,0.06754386
551,218.933,214.012,99,3.102973813,0.128395062,0.09122807
552,235.198,213.956,106,4.827671098,0.149122807,0.104385965
553,277.154,214.35,0,2.896103896,0.314285714,0.008270677
554,246.476,214.632,64,4.352380952,0.144360902,0.072180451
555,224.252,215.228,124,1.791413528,0.104938272,0.074561404
556,209.66,217.789,101,4.817351598,0.148418491,0.107017544
557,199.259,216.743,53,2.736307171,0.184448463,0.076691729
558,230.106,216.76,133,1.877192982,0.171428571,0.12
559,240.469,217.386,65,5.534364261,0.237421384,0.13245614
560,271.264,216.808,5,9.315315315,0.315789474,0.031578947
561,285.652,217.187,0,2.5,0,0.005263158
562,258.17,217.546,30,5.167930029,0.200549451,0.054887218
563,265.626,218.097,19,7.28802589,0.355555556,0.056140351
564,215.188,218.435,82,4.823802164,0.226277372,0.163157895
565,280.187,218.759,1,2.5,0,0.006140351
566,204.58,220.128,79,3.430188679,0.132673267,0.070526316
567,220.064,220.81,135,3.493558776,0.147201946,0.106140351
568,250.711,219.773,52,4.600395648,0.20959596,0.072807018
569,226.061,220.657,122,3.24017821,0.119753086,0.085087719
570,234.674,220.313,94,4.849396505,0.147153598,0.103007519
571,245.268,220.543,54,4.553030303,0.176282051,0.096491228
572,274.535,220.383,0,5.425925926,0.3,0.015789474
573,261.566,222.385,25,12.63157895,0.183098592,0.068421053
574,268.386,223.007,10,8.472049689,0.365714286,0.048120301
575,255.441,222.967,30,8.817518248,0.292957746,0.109473684
576,285.069,222.781,1,0.833333333,0,0.004385965
577,240.421,223.509,104,4.369353917,0.232371795,0.127192982
578,201.567,225.023,79,3.936945813,0.16909621,0.087218045
579,207.853,224.743,92,3.906007752,0.116788321,0.084210526
580,214.294,223.781,137,4.003532009,0.248175182,0.178947368
581,229.602,224.878,86,3,0.15245478,0.103508772
582,279.055,224.355,0,0.795918367,0,0.005263158
583,250.541,225.826,66,5.649162011,0.217721519,0.090526316
584,223.548,225.701,129,3.112262522,0.17654321,0.125438596
585,235.243,225.509,83,0.939372822,0.146153846,0.08
586,289.827,225.717,0,0.833333333,0,0.001754386
587,245.297,226.488,79,4.229537367,0.145833333,0.079824561
588,273.443,226.17,2,4.712121212,0.3,0.015789474
589,257.054,228.443,71,10.73354908,0.432900433,0.175438596
590,263.104,226.937,24,18.72023121,0.256338028,0.095789474
591,218.064,228.188,106,2.585074627,0.108029197,0.077894737
592,284.16,227.807,0,0.666666667,0,0.002631579
593,211.956,229.133,102,2.322773186,0.080291971,0.057894737
594,268.025,228.921,7,12.60299625,0.277777778,0.052631579
595,232.868,230.125,103,4.681037277,0.118055556,0.089473684
596,239.317,229.893,104,4.714285714,0.120039683,0.090977444
597,278.6,229.717,1,1,0.5,0.005263158
598,200.531,231.297,58,6.665116279,0.185714286,0.095789474
599,206.513,230.53,98,5.465375587,0.205882353,0.110526316
600,227.141,230,97,3.781818182,0.130787037,0.099122807
601,221.653,232.04,97,1.25,0.094315245,0.064035088
602,250.75,231.285,77,3.356634304,0.12244898,0.063157895
603,262.054,232.107,36,15.71230982,0.298122066,0.111403509
604,244.886,231.762,78,2.239978903,0.130952381,0.077192982
605,272.667,231.866,2,2.534391534,0.303571429,0.012781955
606,289.181,231.052,1,0.857142857,0,0.004511278
607,283.347,233.073,0,0.944444444,0,0.005263158
608,255.427,233.908,46,9.105485232,0.292517007,0.150877193
609,232.523,234.656,144,3.856255546,0.191705069,0.156390977
610,215.645,233.922,99,0.721659431,0.066666667,0.038596491
611,266.719,235.303,8,17.43859649,0.329931973,0.085087719
612,277.465,235.187,2,1.270833333,0.266666667,0.007017544
613,203.058,235.738,47,7.197665937,0.231292517,0.119298246
614,225.973,235.39,114,2.849593496,0.113425926,0.085964912
615,209.773,236.017,92,4.309174696,0.142857143,0.076691729
616,238.999,235.121,112,7.320480929,0.172043011,0.140350877
617,286.674,236.596,0,1.266666667,0,0.004385965
618,244.771,236.552,84,4.054253612,0.206299213,0.137894737
619,250.345,236.618,98,6.678256071,0.180107527,0.11754386
620,259.735,237.227,49,17.31790123,0.242268041,0.123684211
621,271.598,237.105,5,8.695906433,0.230769231,0.031578947
622,220.141,237.867,110,1.757575758,0.103825137,0.066666667
623,281.656,238.766,2,1.111111111,0.25,0.005263158
624,229.055,239.795,137,1.672426206,0.089247312,0.072807018
625,214.458,239.93,85,1.953284672,0.12568306,0.080701754
626,205.267,240.023,66,5.439722864,0.217204301,0.106315789
627,235.394,239.782,155,1.365922777,0.15483871,0.126315789
628,241.86,240.682,127,3.812672176,0.111827957,0.09122807
629,254.461,240.434,97,12.09966216,0.24327957,0.15877193
630,263.923,240.288,26,17.37628866,0.327956989,0.107017544
631,291.165,241.35,0,1.476190476,0,0.002255639
632,223.813,242.303,121,0.654915785,0.053527981,0.038596491
633,269.859,241.609,10,10.02727273,0.352941176,0.063157895
634,276.282,240.654,4,1.922222222,0.233333333,0.012280702
635,248.207,242.355,124,2.231315577,0.127109111,0.084962406
636,285.795,242.282,2,0.9,0.333333333,0.005263158
637,209.84,243.159,93,2.783306581,0.105386417,0.067669173
638,218.388,243.833,122,3.257963212,0.16015625,0.107894737
639,258.747,243.704,62,14.81478558,0.247536946,0.15112782
640,280.441,244.405,2,1.013333333,0.261904762,0.009649123
641,231.96,244.6,136,1.21937046,0.072258065,0.058947368
642,237.589,245.393,130,2.013362225,0.093548387,0.076315789
643,197.561,244.96,50,4.6025,0.151219512,0.065263158
644,203.301,244.971,82,4.536202186,0.215053763,0.105263158
645,264.7,244.773,34,11.24275362,0.293532338,0.103508772
646,274.919,245.486,5,6.924242424,0.25,0.034210526
647,243.082,246.504,115,0.369590643,0.074358974,0.050877193
648,252.894,246.223,116,5.649855908,0.201612903,0.131578947
649,269.51,246.421,26,13.28695652,0.329411765,0.088421053
650,289.068,246.126,1,1.333333333,0.333333333,0.005263158
651,214.077,247.605,84,2.954271535,0.149553571,0.10075188
652,226.734,246.954,119,0.938529089,0.087248322,0.068421053
653,261.525,248.324,67,7.38680203,0.217391304,0.105263158
654,208.191,248.592,88,2.089417091,0.1,0.05
655,283.511,248.147,3,1.901960784,0.285714286,0.010526316
656,220.781,248.956,128,1.679146847,0.103794643,0.069924812
657,247.689,249.485,124,2.690909091,0.1,0.065263158
658,256.293,250.074,92,3.793515358,0.152298851,0.092982456
659,266.242,251.358,51,12.83253764,0.258116883,0.119548872
660,202.137,250.189,56,5.315846112,0.199372057,0.095488722
661,232.885,250.302,149,1.080166436,0.155321189,0.121804511
662,278.153,250.186,7,3.425087108,0.369047619,0.023308271
663,272.075,250.233,12,15.57575758,0.320261438,0.085964912
664,239.352,250.83,111,1.430079156,0.123489933,0.096842105
665,226.769,251.98,121,0.978001491,0.065995526,0.051754386
666,250.699,253.501,79,3.346842283,0.246543779,0.160902256
667,282.849,253.572,1,2.833333333,0.214285714,0.007894737
668,211.045,252.952,95,0.926820604,0.07027027,0.041052632
669,244.18,253.794,124,2.368487929,0.112433862,0.074561404
670,216.087,253.798,111,2.686975717,0.127604167,0.085964912
671,199.809,254.69,68,2.570074813,0.116483516,0.055789474
672,260.568,253.882,88,2.822006472,0.197463768,0.095614035
673,274.066,254.222,10,14.70588235,0.306976744,0.069473684
674,205.768,255.364,91,2.625,0.153383459,0.076691729
675,220.963,255.024,125,0.283629191,0.046875,0.031578947
676,236.788,255.315,129,1.175384615,0.06442953,0.050526316
677,268.886,256.142,43,12.93580247,0.306372549,0.109649123
678,231.336,256.397,135,0.982323232,0.072706935,0.057017544
679,254.905,255.864,82,5.84165406,0.15530303,0.107894737
