Cell_ID,Cell Position X,Cell Position Y,Centroid,Fano factor,PV,NV
322,171.801,232.113,0,2,0,0.002136752
323,141.637,233.202,0,0,0,0
324,118.988,233.671,0,0,0,0
325,154.546,235.354,0,0,0,0
326,165.89,233.946,2,2,0,0.012820513
327,129.84,235.262,0,0,0,0
328,148.242,234.937,0,0,0,0
329,101.642,236.688,0,0,0,0
330,113.072,235.859,0,0,0,0
331,183.213,235.559,0,2,0,0.002136752
332,189.336,236.384,0,2,0,0.002564103
333,123.875,237.755,0,0,0,0
334,177.031,236.852,0,0,0,0
335,159.963,237.828,0,2,0,0.002136752
336,135.617,237.965,0,0,0,0
337,142.501,238.41,0,0,0,0
338,107.33,238.206,0,0,0,0
339,171.312,238.112,0,2,0,0.002136752
340,118.004,240.21,0,0,0,0
341,165.411,239.658,0,2,0,0.002564103
342,148.404,240.295,0,0,0,0
343,129.256,241.445,0,0,0,0
344,186.686,241.331,2,2,0,0.012820513
345,111.936,242.279,0,0,0,0
346,155.809,241.49,0,0,0,0
347,181.037,241.568,0,2,0,0.002564103
348,104.312,243.069,0,0,0,0
349,174.956,242.87,0,0,0,0
350,137.391,242.901,0,0,0,0
351,168.649,243.741,0,0,0,0
352,122.748,244.314,0,0,0,0
353,143.71,244.157,0,0,0,0
354,151.149,244.643,0,0,0,0
355,161.592,244.375,0,0,0,0
356,116.645,246.204,0,0,0,0
357,132.966,246.431,0,0,0,0
358,189.387,246.327,0,2,0,0.002564103
359,109.636,247.361,0,0,0,0
360,184.308,247.719,0,2,0,0.002564103
361,126.918,248.203,0,0,0,0
362,156.998,247.783,0,0,0,0
363,138.744,248.863,0,0,0,0
364,101.771,249.541,0,1,0,0.000915751
365,174.461,248.694,0,0,0,0
366,163.381,249.591,0,0,0,0
367,168.467,248.19,0,0,0,0
368,146.121,249.083,0,0,0,0
369,120.407,250.64,0,0,0,0
370,152.305,250.436,0,0,0,0
371,113.875,252.397,0,0,0,0
372,107.625,252.513,0,0,0,0
373,131.45,252.202,0,0,0,0
374,180.977,252.655,0,0,0,0
375,158.912,253.1,0,0,0,0
376,188.159,252.277,0,0,0,0
377,169.788,253.144,0,0,0,0
378,142.246,253.291,0,0,0,0
379,175.686,254.182,0,0,0,0
380,124.683,255.252,0,0,0,0
381,148.067,255.003,0,0,0,0
382,136.471,255.153,0,0,0,0
